Time;Date;1_Feed_FLOW_CF01_PV;1_Feed_FLOW_CF01_SV;1_Feed_FLOW_CF02_PV;1_Feed_FLOW_CF02_SV;1_Feed_FLOW_CF03_SV;1_Feed_FLOW_CF03_SV;1_Feed_FLOW_CF04_SV;1_Feed_FLOW_CF04_SV;1_Feed_FLOW_CF05_SV;1_Feed_FLOW_CF05_SV;1_Feed_FLOW_CF06_SV;1_Feed_FLOW_CF06_SV
15:27:32;23/12/2015;-0.33125;0;150;150;0;0;60;60;0;0;50;50
15:27:52;23/12/2015;-0.3125;0;150;150;0;0;60;60;0;0;50;50
15:28:12;23/12/2015;-0.33125;0;150;150;0;0;60;60;0;0;50;50
15:28:32;23/12/2015;-0.30625;0;150;150;0;0;60;60;0;0;50;50
15:28:52;23/12/2015;-0.34375;0;150;150;0;0;60;60;0;0;50;50
15:29:12;23/12/2015;-0.31875;0;150;150;0;0;60;60;0;0;50;50
15:29:32;23/12/2015;-0.3125;0;150;150;0;0;60;60;0;0;50;50
15:29:52;23/12/2015;-0.29375;0;150;150;0;0;60;60;0;0;50;50
15:30:12;23/12/2015;-0.30625;0;150;150;0;0;60;60;0;0;50;50
15:30:32;23/12/2015;-0.3625;0;150;150;0;0;60;60;0;0;50;50
15:30:52;23/12/2015;-0.35625;0;150;150;0;0;60;60;0;0;50;50
15:31:12;23/12/2015;-0.325;0;150;150;0;0;60;60;0;0;50;50
15:31:32;23/12/2015;-0.31875;0;150;150;0;0;60;60;0;0;50;50
15:31:52;23/12/2015;-0.33125;0;150;150;0;0;60;60;0;0;50;50
15:32:12;23/12/2015;-0.35;0;150;150;0;0;60;60;0;0;50;50
15:32:32;23/12/2015;-0.33125;0;150;150;0;0;60;60;0;0;50;50
15:32:52;23/12/2015;-0.33125;0;150;150;0;0;60;60;0;0;50;50
15:33:12;23/12/2015;-0.29375;0;150;150;0;0;60;60;0;0;50;50
15:33:32;23/12/2015;-0.31875;0;150;150;0;0;60;60;0;0;50;50
15:33:52;23/12/2015;-0.33125;0;150;150;0;0;60;60;0;0;50;50
15:34:12;23/12/2015;-0.31875;0;150;150;0;0;60;60;0;0;50;50
15:34:32;23/12/2015;-0.31875;0;150;150;0;0;60;60;0;0;50;50
15:34:52;23/12/2015;-0.35;0;150;150;0;0;60;60;0;0;50;50
15:35:12;23/12/2015;-0.3375;0;150;150;0;0;60;60;0;0;50;50
15:35:32;23/12/2015;-0.35625;0;150;150;0;0;60;60;0;0;50;50
15:35:52;23/12/2015;-0.35625;0;150;150;0;0;60;60;0;0;50;50
15:36:12;23/12/2015;-0.29375;0;150;150;0;0;60;60;0;0;50;50
15:36:32;23/12/2015;-0.28125;0;150;150;0;0;60;60;0;0;50;50
15:36:52;23/12/2015;-0.2875;0;150;150;0;0;60;60;0;0;50;50
15:37:12;23/12/2015;-0.35;0;150;150;0;0;60;60;0;0;50;50
15:37:32;23/12/2015;-0.3375;0;150;150;0;0;60;60;0;0;50;50
15:37:52;23/12/2015;-0.3;0;150;150;0;0;60;60;0;0;50;50
15:38:12;23/12/2015;-0.3125;0;150;150;0;0;60;60;0;0;50;50
15:38:32;23/12/2015;-0.29375;0;150;150;0;0;60;60;0;0;50;50
15:38:52;23/12/2015;-0.2875;0;150;150;0;0;60;60;0;0;50;50
15:39:12;23/12/2015;-0.30625;0;150;150;0;0;60;60;0;0;50;50
15:39:32;23/12/2015;-0.31875;0;150;150;0;0;60;60;0;0;50;50
15:39:52;23/12/2015;-0.3125;0;150;150;0;0;60;60;0;0;50;50
15:40:12;23/12/2015;-0.3125;0;150;150;0;0;60;60;0;0;50;50
15:40:32;23/12/2015;-0.35;0;150;150;0;0;60;60;0;0;50;50
15:40:52;23/12/2015;-0.375;0;150;150;0;0;60;60;0;0;50;50
15:41:12;23/12/2015;-0.36875;0;150;150;0;0;60;60;0;0;50;50
15:41:32;23/12/2015;-0.34375;0;150;150;0;0;60;60;0;0;50;50
15:41:52;23/12/2015;-0.29375;0;150;150;0;0;60;60;0;0;50;50
15:42:12;23/12/2015;-0.33125;0;150;150;0;0;60;60;0;0;50;50
15:42:32;23/12/2015;-0.3;0;150;150;0;0;60;60;0;0;50;50
15:42:52;23/12/2015;-0.31875;0;150;150;0;0;60;60;0;0;50;50
15:43:12;23/12/2015;-0.3375;0;150;150;0;0;60;60;0;0;50;50
15:43:32;23/12/2015;-0.33125;0;150;150;0;0;60;60;0;0;50;50
15:43:52;23/12/2015;-0.29375;0;150;150;0;0;60;60;0;0;50;50
15:44:12;23/12/2015;-0.31875;0;150;150;0;0;60;60;0;0;50;50
15:44:32;23/12/2015;-0.3125;0;150;150;0;0;60;60;0;0;50;50
15:44:52;23/12/2015;-0.30625;0;150;150;0;0;60;60;0;0;50;50
15:45:12;23/12/2015;-0.3125;0;150;150;0;0;60;60;0;0;50;50
15:45:32;23/12/2015;-0.2875;0;150;150;0;0;60;60;0;0;50;50
15:45:52;23/12/2015;-0.30625;0;150;150;0;0;60;60;0;0;50;50
15:46:12;23/12/2015;-0.31875;0;150;150;0;0;60;60;0;0;50;50
15:46:32;23/12/2015;-0.34375;0;150;150;0;0;60;60;0;0;50;50
15:46:52;23/12/2015;-0.3125;0;150;150;0;0;60;60;0;0;50;50
15:47:12;23/12/2015;-0.3125;0;150;150;0;0;60;60;0;0;50;50
15:47:32;23/12/2015;-0.30625;0;150;150;0;0;60;60;0;0;50;50
15:47:52;23/12/2015;-0.35625;0;150;150;0;0;60;60;0;0;50;50
15:48:12;23/12/2015;-0.2875;0;150;150;0;0;60;60;0;0;50;50
