Time;Date;PI-01 Liquid_HC;PI-02 Gas_HC;PI-03 Inert;PI-04 H2O;PI-05 Elicra;PI-06 Nabertherm;PI-07 Outlet Reactor;PI-08 RGA Effluent Inlet
21:05:32;23/12/2015;9.403936E-03;0.6324147;0.0088614;0.5032914;9.548611E-03;-3.555556;-0.0250651;-5.425347E-03
21:05:52;23/12/2015;9.58478E-03;0.6325955;9.042245E-03;0.5029297;9.22309E-03;-3.555556;-0.0250651;-5.425347E-03
21:06:12;23/12/2015;9.042245E-03;0.6324147;9.22309E-03;0.5027488;9.331597E-03;-3.555556;-2.528212E-02;-5.208333E-03
21:06:32;23/12/2015;9.22309E-03;0.6322337;0.0088614;0.5031105;9.548611E-03;-3.555556;-0.0250651;-5.425347E-03
21:06:52;23/12/2015;9.22309E-03;0.6324147;9.22309E-03;0.5038339;9.440104E-03;-3.555556;-0.0250651;-5.31684E-03
21:07:12;23/12/2015;9.58478E-03;0.6322337;9.403936E-03;0.503653;9.440104E-03;-3.555556;-2.539063E-02;-5.208333E-03
21:07:32;23/12/2015;9.58478E-03;0.632053;9.22309E-03;0.5032914;9.548611E-03;-3.555556;-2.484809E-02;-5.425347E-03
21:07:52;23/12/2015;9.042245E-03;0.6325955;0.0088614;0.5031105;9.331597E-03;-3.555556;-2.539063E-02;-5.208333E-03
21:08:12;23/12/2015;9.58478E-03;0.6316913;8.499711E-03;0.5034722;9.548611E-03;-3.555556;-2.528212E-02;-5.31684E-03
21:08:32;23/12/2015;9.22309E-03;0.6318721;9.22309E-03;0.5034722;9.657118E-03;-3.555556;-2.549913E-02;-5.099826E-03
21:08:52;23/12/2015;8.680556E-03;0.6318721;9.22309E-03;0.5032914;9.548611E-03;-3.555556;-2.539063E-02;-5.31684E-03
21:09:12;23/12/2015;9.765625E-03;0.6318721;9.042245E-03;0.5031105;9.22309E-03;-3.555556;-2.571614E-02;-5.099826E-03
21:09:32;23/12/2015;9.765625E-03;0.632053;9.58478E-03;0.5031105;9.765625E-03;-3.555556;-2.549913E-02;-4.991319E-03
21:09:52;23/12/2015;9.58478E-03;0.6324147;9.22309E-03;0.5032914;9.331597E-03;-3.555556;-2.560764E-02;-5.31684E-03
21:10:12;23/12/2015;9.58478E-03;0.6324147;9.58478E-03;0.5034722;9.548611E-03;-3.555556;-2.549913E-02;-5.750868E-03
21:10:32;23/12/2015;9.403936E-03;0.6324147;9.765625E-03;0.5032914;9.548611E-03;-3.555556;-2.549913E-02;-5.425347E-03
