simulation names,InChI
C4H2,1S/C4H2/c1-3-4-2/h1-2H
C4H5-I,"1S/C4H5/c1-3-4-2/h3H,1-2H2"
C4H5-N,"1S/C4H5/c1-3-4-2/h1,3-4H,2H2"
CH2CHCHCHO,"1S/C4H5O/c1-2-3-4-5/h2-4H,1H2"
C4H6O25,"1S/C4H6O/c1-2-4-5-3-1/h1-2H,3-4H2"
C2H3CHOCH2,"1S/C4H6O/c1-2-4-3-5-4/h2,4H,1,3H2"
C4H5-2,"1S/C4H5/c1-3-4-2/h1H2,2H3"
C4H6-2,1S/C4H6/c1-3-4-2/h1-2H3
C4H6O23,"1S/C4H6O/c1-2-4-5-3-1/h1,3H,2,4H2"
C4H4O,"1S/C4H4O/c1-2-3-4-5/h4H,1H3"
H2C4O,"1S/C4H2O/c1-2-4-3-5-4/h1,3H"
C6H6,1S/C6H6/c1-2-4-6-5-3-1/h1-6H
C6H5,1S/C6H5/c1-2-4-6-5-3-1/h1-5H
C6H2,1S/C6H2/c1-3-5-6-4-2/h1-2H
C6H3,"1S/C6H3/c1-3-5-6-4-2/h1-2,5H"
L-C6H4,"1S/C6H4/c1-3-5-6-4-2/h1-2,5-6H"
C-C6H4,"1S/C6H4/c1-3-5-6-4-2/h1,4H,2H2"
C6H5O,1S/C6H5O/c7-6-4-2-1-3-5-6/h1-5H
C6H5OH,"1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H"
P-C6H4O2,1S/C6H4O2/c7-5-1-2-6(8)4-3-5/h1-4H
